汉兰达 2015款 2.0T 两驱精英版 5座	23.98	3	14	膝部气囊,发动机启停技术,上坡辅助,后排座椅比例放倒,日间行车灯	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 两驱精英版 7座	24.88	3	15	膝部气囊,上坡辅助,后排座椅比例放倒,发动机启停技术,日间行车灯	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 四驱精英版 7座	25.88	3	17	中央差速器锁止功能,陡坡缓降,膝部气囊,上坡辅助,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 2.0T 两驱豪华版 7座	28.48	1	28	全景天窗,后排独立空调,膝部气囊,副驾驶座电动调节,后视镜电动折叠	大灯高度可调
汉兰达 2015款 2.0T 四驱豪华版 7座	29.48	1	30	后排独立空调,全景天窗,陡坡缓降,中央差速器锁止功能,膝部气囊	大灯高度可调
汉兰达 2015款 2.0T 两驱豪华导航版 7座	29.28	1	30	定位互动服务,后排独立空调,全景天窗,膝部气囊,副驾驶座电动调节	大灯高度可调
汉兰达 2015款 2.0T 四驱豪华导航版 7座	30.28	1	32	定位互动服务,后排独立空调,全景天窗,陡坡缓降,中央差速器锁止功能	大灯高度可调
汉兰达 2015款 2.0T 四驱至尊版 7座	33.08	0	46	电动后备厢,方向盘加热,前排座椅通风,并线辅助,自适应巡航	
汉兰达 2015款 3.5L 四驱精英版 7座	32.28	3	16	陡坡缓降,中央差速器锁止功能,膝部气囊,上坡辅助,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘
汉兰达 2015款 3.5L 四驱豪华版 7座	37.98	1	29	后排独立空调,全景天窗,陡坡缓降,膝部气囊,中央差速器锁止功能	大灯高度可调
汉兰达 2015款 3.5L 四驱豪华导航版 7座	38.78	1	31	定位互动服务,后排独立空调,全景天窗,陡坡缓降,膝部气囊	大灯高度可调
汉兰达 2015款 3.5L 四驱至尊版 7座	42.28	0	45	电动后备厢,定位互动服务,后排独立空调,陡坡缓降,膝部气囊	
汉兰达 2012款 2.7L 两驱5座精英版	24.88	3	11	后排侧隐私玻璃,膝部气囊,上坡辅助,后排座椅比例放倒,第二排座椅移动	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 2.7L 两驱7座精英版	26.28	3	12	后排侧隐私玻璃,膝部气囊,上坡辅助,后排座椅比例放倒,第三排座椅	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 2.7L 两驱5座运动版	27.88	1	19	后排侧隐私玻璃,膝部气囊,副驾驶座电动调节,主驾驶座电动调节,前排座椅加热	电动天窗
汉兰达 2012款 2.7L 两驱7座豪华版	29.88	0	23	后排独立空调,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节,多媒体系统	
汉兰达 2012款 2.7L 两驱7座豪华导航版	31.88	0	26	定位互动服务,后排独立空调,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节	
汉兰达 2012款 2.7L 两驱7座至尊版	33.88	0	32	电动后备厢,定位互动服务,后排独立空调,后排侧隐私玻璃,膝部气囊	
汉兰达 2012款 3.5L 四驱7座精英版	32.98	3	15	后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊,温度分区控制	电动天窗,行车电脑显示屏,真皮方向盘
汉兰达 2012款 3.5L 四驱7座豪华版	37.98	0	24	后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊,副驾驶座电动调节	
汉兰达 2012款 3.5L 四驱7座豪华导航版	39.98	0	27	定位互动服务,后排独立空调,陡坡缓降,后排侧隐私玻璃,膝部气囊	
汉兰达 2012款 3.5L 四驱7座至尊版	42.98	0	33	电动后备厢,定位互动服务,后排独立空调,陡坡缓降,后排侧隐私玻璃	
速腾 2015款 1.6L 手动时尚型	13.18	3	5	上坡辅助,后排座椅比例放倒,后视镜加热,空调手动控制,转向辅助灯	电动天窗,真皮方向盘,后座出风口
速腾 2015款 1.6L 自动时尚型	14.38	3	5	上坡辅助,后排座椅比例放倒,后视镜加热,空调手动控制,转向辅助灯	电动天窗,真皮方向盘,后座出风口
速腾 2015款 1.6L 手动舒适型	13.88	0	11	胎压监测装置,腰部支撑调节,上坡辅助,后排座椅比例放倒,定速巡航	
速腾 2015款 1.6L 自动舒适型	15.08	0	11	腰部支撑调节,胎压监测装置,上坡辅助,后排座椅比例放倒,定速巡航	
速腾 2015款 230TSI 手动舒适型	14.68	0	11	腰部支撑调节,胎压监测装置,上坡辅助,后排座椅比例放倒,定速巡航	
速腾 2015款 230TSI 自动舒适型	16.08	0	11	腰部支撑调节,胎压监测装置,上坡辅助,后排座椅比例放倒,定速巡航	
速腾 2015款 230TSI 手动豪华型	15.68	0	23	无钥匙启动系统,无钥匙进入系统,主驾驶座电动调节,前排座椅加热,自动头灯	
速腾 2015款 230TSI 自动豪华型	17.08	0	23	无钥匙启动系统,无钥匙进入系统,主驾驶座电动调节,前排座椅加热,自动头灯	
速腾 2015款 280TSI 自动旗舰型	18.58	0	31	氙气大灯,后视镜电动折叠,发动机启停技术,无钥匙启动系统,无钥匙进入系统	
速腾 2014款 改款 1.6L 手动时尚型	13.18	5	4	后排座椅比例放倒,日间行车灯,后视镜加热,空调手动控制	大灯高度可调,电动天窗,前雾灯,真皮方向盘,后座出风口
速腾 2014款 改款 1.6L 自动时尚型	14.38	5	4	后排座椅比例放倒,日间行车灯,后视镜加热,空调手动控制	大灯高度可调,电动天窗,前雾灯,真皮方向盘,后座出风口
速腾 2014款 改款 1.6L 手动领先型	13.28	3	5	后排座椅比例放倒,日间行车灯,定速巡航,后视镜加热,空调手动控制	大灯高度可调,真皮方向盘,后座出风口
速腾 2014款 改款 1.6L 自动领先型	14.48	3	5	后排座椅比例放倒,日间行车灯,定速巡航,后视镜加热,空调手动控制	大灯高度可调,真皮方向盘,后座出风口
速腾 2014款 改款 1.6L 手动舒适型	13.88	0	8	腰部支撑调节,后排座椅比例放倒,日间行车灯,定速巡航,真皮/仿皮座椅	
速腾 2014款 改款 1.6L 自动舒适型	15.08	0	8	腰部支撑调节,后排座椅比例放倒,日间行车灯,定速巡航,真皮/仿皮座椅	
速腾 2014款 改款 1.4TSI 蓝驱版	16.98	1	14	发动机启停技术,温度分区控制,前驻车雷达,腰部支撑调节,上坡辅助	电动天窗
速腾 2014款 改款 1.4TSI 手动时尚型	14.18	4	4	后排座椅比例放倒,日间行车灯,后视镜加热,空调手动控制	大灯高度可调,电动天窗,前雾灯,后座出风口
速腾 2014款 改款 1.4TSI 自动时尚型	15.58	4	5	上坡辅助,后排座椅比例放倒,日间行车灯,后视镜加热,空调手动控制	大灯高度可调,电动天窗,前雾灯,后座出风口
速腾 2014款 改款 1.4TSI 手动精英型	14.78	3	9	前驻车雷达,胎压监测装置,后排座椅比例放倒,日间行车灯,多功能方向盘	大灯高度可调,电动天窗,前雾灯
速腾 2014款 改款 1.4TSI 自动精英型	16.18	3	10	前驻车雷达,胎压监测装置,上坡辅助,后排座椅比例放倒,日间行车灯	大灯高度可调,电动天窗,前雾灯
速腾 2014款 改款 1.4TSI 手动豪华型	15.38	0	13	温度分区控制,前驻车雷达,腰部支撑调节,胎压监测装置,后排座椅比例放倒	
速腾 2014款 改款 1.4TSI 自动豪华型	16.78	0	14	温度分区控制,前驻车雷达,腰部支撑调节,胎压监测装置,上坡辅助	
速腾 2014款 改款 1.4TSI 自动旗舰版	17.78	0	24	后视镜电动折叠,主驾驶座电动调节,前排座椅加热,自动头灯,内后视镜自动防眩目	
速腾 2014款 改款 1.8TSI 自动旗舰版	18.58	0	24	后视镜电动折叠,主驾驶座电动调节,前排座椅加热,自动头灯,内后视镜自动防眩目	
速腾 2013款 2.0TSI GLI	22.58	0	29	方向盘换挡,运动风格座椅,多媒体系统,大灯清洗装置,转向头灯	
奥迪A3(进口) 2014款 Sportback 40 TFSI S line 舒适型	26.98	0	26	运动外观套件,膝部气囊,大灯清洗装置,副驾驶座电动调节,氙气大灯	
奥迪A3(进口) 2014款 Sportback 40 TFSI S line 豪华型	32.43	0	36	后排侧气囊,定位互动服务,运动外观套件,膝部气囊,大灯清洗装置	
奥迪A3(进口) 2015款 Sportback 45 TFSI S line 运动型	31.98	0	33	定位互动服务,运动外观套件,膝部气囊,大灯清洗装置,副驾驶座电动调节	
奥迪A3(进口) 2014款 Limousine 40 TFSI S line 舒适型	27.98	0	25	运动外观套件,膝部气囊,大灯清洗装置,副驾驶座电动调节,氙气大灯	
奥迪A3(进口) 2014款 Limousine 40 TFSI S line 豪华型	33.43	0	35	定位互动服务,运动外观套件,膝部气囊,副驾驶座电动调节,大灯清洗装置	
奥迪A3(进口) 2015款 Limousine 45 TFSI S line 豪华型	32.48	0	30	定位互动服务,运动外观套件,膝部气囊,大灯清洗装置,副驾驶座电动调节	
奥迪A3(进口) 2015款 Cabriolet 40 TFSI	36.98	2	24	定位互动服务,膝部气囊,大灯清洗装置,自动头灯,温度分区控制	电动天窗,后中央扶手
Tiguan 2015款 2.0TSI 舒适版	38.48	0	33	自动泊车入位,全景天窗,陡坡缓降,主驾驶座电动调节,前排座椅加热	
Tiguan 2011款 2.0TSI R-Line	41.92	0	36	内置硬盘,陡坡缓降,主驾驶座电动调节,前排座椅加热,自动头灯	
桑塔纳 2015款 1.4L 手动风尚版	27.9	5	23	后桥限滑差速器,后桥限滑差速锁,运动外观套件,膝部气囊,大灯清洗装置	后电动车窗,电动天窗,前中央扶手,后中央扶手,后座出风口
桑塔纳 2015款 1.4L 手动舒适版	8.49	20	1	空调手动控制	前排侧气囊,遥控钥匙,电动天窗,铝合金轮圈,行车电脑显示屏
桑塔纳 2015款 1.6L 手动风尚版	9.88	10	5	后驻车雷达,转向辅助灯,后视镜加热,防紫外线/隔热玻璃,空调手动控制	座椅高低调节,刹车辅助(EBA/BAS/BA等),牵引力控制(ASR/TCS/TRC等),车身稳定控制(ESC/ESP/DSC等),真皮方向盘
桑塔纳 2015款 1.6L 自动风尚版	8.99	20	1	空调手动控制	前排侧气囊,遥控钥匙,电动天窗,铝合金轮圈,行车电脑显示屏
桑塔纳 2015款 1.6L 手动舒适版	9.99	20	1	空调手动控制	前排侧气囊,遥控钥匙,电动天窗,铝合金轮圈,行车电脑显示屏
桑塔纳 2015款 1.6L 自动舒适版	10.38	9	5	后视镜加热,防紫外线/隔热玻璃,后驻车雷达,转向辅助灯,空调手动控制	刹车辅助(EBA/BAS/BA等),牵引力控制(ASR/TCS/TRC等),车身稳定控制(ESC/ESP/DSC等),真皮方向盘,后中央扶手
桑塔纳 2015款 1.6L 自动30周年纪念版	11.38	9	5	后视镜加热,防紫外线/隔热玻璃,后驻车雷达,空调手动控制,转向辅助灯	刹车辅助(EBA/BAS/BA等),牵引力控制(ASR/TCS/TRC等),车身稳定控制(ESC/ESP/DSC等),真皮方向盘,后中央扶手
桑塔纳 2015款 1.6L 手动豪华版	11.88	8	5	真皮/仿皮座椅,空调自动控制,后视镜加热,防紫外线/隔热玻璃,转向辅助灯	刹车辅助(EBA/BAS/BA等),牵引力控制(ASR/TCS/TRC等),车身稳定控制(ESC/ESP/DSC等),真皮方向盘,后座出风口
桑塔纳 2015款 1.6L 自动豪华版	11.38	4	10	前排头部气囊(气帘),后排头部气囊(气帘),多功能方向盘,真皮/仿皮座椅,蓝牙/车载电话	后座出风口,方向盘前后调节,后排杯架,车窗防夹手功能
桑塔纳 2015款 1.4T DSG尊享版	12.38	4	10	前排头部气囊(气帘),后排头部气囊(气帘),多功能方向盘,真皮/仿皮座椅,蓝牙/车载电话	后座出风口,方向盘前后调节,后排杯架,车窗防夹手功能
雅阁 2015款 2.0L LX 舒适版	11.58	13	15	手动侧滑门,倒车视频影像,定速巡航,后排座椅整体放倒,第三排座椅	ISOFIX儿童座椅接口,大灯高度可调,前排侧气囊,行车电脑显示屏,CD支持MP3/WMA
雅阁 2015款 2.0L LXS  精英版	17.98	2	9	自动驻车,上坡辅助,日间行车灯,倒车视频影像,中控台彩色大屏	真皮方向盘,后座出风口
雅阁 2015款 2.0L EX 豪华版	18.98	1	13	副驾驶座电动调节,主驾驶座电动调节,前排座椅加热,自动驻车,上坡辅助	后座出风口
雅阁 2015款 2.0L EXN 豪华导航版	20.68	1	19	副驾驶座电动调节,主驾驶座电动调节,前排座椅加热,温度分区控制,腰部支撑调节	后座出风口
雅阁 2015款 2.4L LX 舒适版	21.68	1	21	副驾驶座电动调节,主驾驶座电动调节,前排座椅加热,温度分区控制,腰部支撑调节	后座出风口
雅阁 2015款 2.4L EX 豪华版	21.98	0	22	副驾驶座电动调节,后视镜电动折叠,主驾驶座电动调节,前排座椅加热,温度分区控制	
雅阁 2015款 2.4L EXN 豪华导航版	22.98	0	27	LED大灯,副驾驶座电动调节,后视镜电动折叠,无钥匙启动系统,无钥匙进入系统	
雅阁 2015款 3.0L VTI 尊贵版	23.58	0	28	LED大灯,副驾驶座电动调节,后视镜电动折叠,无钥匙启动系统,无钥匙进入系统	
雅阁 2015款 3.0L XLN 旗舰版	27.28	0	36	后排座椅加热,电动座椅记忆,后排侧遮阳帘,后视镜记忆,后风挡遮阳帘	
雅阁 2014款 3.0L EXLN 旗舰版	29.88	0	40	HUD抬头数字显示,自适应巡航,电动座椅记忆,后视镜记忆,LED大灯	
雅阁 2014款 3.0L VTI 尊贵版	29.88	0	40	HUD抬头数字显示,自适应巡航,电动座椅记忆,后视镜记忆,LED大灯	
雅阁 2014款 2.4L EXN 豪华导航版	27.28	0	36	后排座椅加热,电动座椅记忆,后排侧遮阳帘,后视镜记忆,后风挡遮阳帘	
雅阁 2014款 2.4L EX 豪华版	23.58	0	28	LED大灯,副驾驶座电动调节,后视镜电动折叠,无钥匙启动系统,无钥匙进入系统	
雅阁 2014款 2.4L LX 舒适版	22.98	0	27	LED大灯,副驾驶座电动调节,后视镜电动折叠,无钥匙启动系统,无钥匙进入系统	
雅阁 2014款 2.0L EXN 豪华导航版	21.98	0	22	副驾驶座电动调节,后视镜电动折叠,主驾驶座电动调节,前排座椅加热,温度分区控制	
雅阁 2014款 2.0L EX 豪华版	21.68	1	21	副驾驶座电动调节,主驾驶座电动调节,前排座椅加热,温度分区控制,腰部支撑调节	后座出风口
雅阁 2014款 2.0L LX 舒适版	20.68	1	19	副驾驶座电动调节,主驾驶座电动调节,前排座椅加热,温度分区控制,腰部支撑调节	后座出风口
凌渡 2015款 230TSI 手动风尚版	14.59	5	9	自动驻车,车内空气调节/花粉过滤,腰部支撑调节,胎压监测装置,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘,后中央扶手,后排杯架
凌渡 2015款 230TSI DSG风尚版	15.99	5	9	车内空气调节/花粉过滤,自动驻车,腰部支撑调节,胎压监测装置,后排座椅比例放倒	大灯高度可调,电动天窗,真皮方向盘,后中央扶手,后排杯架
凌渡 2015款 280TSI 手动舒适版	16.99	1	15	车内氛围灯,温度分区控制,车内空气调节/花粉过滤,自动驻车,腰部支撑调节	大灯高度可调
凌渡 2015款 280TSI DSG舒适版	18.39	1	15	车内氛围灯,温度分区控制,车内空气调节/花粉过滤,腰部支撑调节,自动驻车	大灯高度可调
凌渡 2015款 280TSI DSG豪华版	19.99	0	32	大灯清洗装置,转向头灯,副驾驶座电动调节,氙气大灯,后视镜电动折叠	
凌渡 2015款 330TSI DSG舒适版	19.49	1	15	车内氛围灯,温度分区控制,车内空气调节/花粉过滤,腰部支撑调节,胎压监测装置	大灯高度可调
凌渡 2015款 330TSI DSG豪华版	21.39	0	33	大灯清洗装置,转向头灯,副驾驶座电动调节,氙气大灯,后视镜电动折叠	
